state,action,Q,N,best_action
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 6, 6)",-0.8146979811148276,6,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 1, 2)",-0.4685590000000068,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 0, 2)",-0.270999999999999,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 1, 0)",-0.18999999999999934,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 0, 3)",-0.6861894039100099,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 0, 2)",-0.10000000000000009,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 0, 4)",-0.10000000000000009,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 3, 4)",-0.4685590000000068,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 1, 5)",-0.09999999999999998,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 2, 1)",-0.18999999999999995,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 4, 5)",-0.09999999999999998,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 2, 4)",-0.9995481994537118,29,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 2, 4)",-0.18999999999999995,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 1)",-0.5217030999999981,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 4, 3)",-0.9999999988053087,23,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 3, 3)",-0.9966554393770367,24,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 5, 1)",-0.270999999999999,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 4)",-0.5217031000000075,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 6, 5)",-0.19,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 2, 2)",-0.9690968456173124,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 5, 4)",-0.09999999999999998,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 6, 2)",-0.270999999999999,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 5, 4)",-0.9999998309981173,15,"(-5, 2, 1)"
