state,action,Q,N,best_action
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 2, 5)",-0.9954121253457505,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 2, 2)",-0.2710000000000039,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 2, 5)",-0.4095100000000059,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 2, 3)",-0.4685590000000068,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 1, 4)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 0)",-0.969433453466721,24,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 6, 0)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 0, 6)",-0.6125795110000088,9,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 6, 4)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 6, 2)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 1, 2)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 2, 2)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 6, 4)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 0, 2)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 6, 0)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 1, 4)",-0.9852191170585095,30,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 3, 1)",-0.19000000000000272,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 6, 2)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 4, 6)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 4, 2)",-1.000000000000226,20,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 0, 6)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 2, 6)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 3)",-0.4095100000000059,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 6, 2)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 1, 5)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 4, 2)",-0.19000000000000272,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 6, 6)",-0.4685590000000068,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 1, 5)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 5, 1)",-0.5695327900000082,8,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 5, 2)",-0.9999999999996211,39,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 6, 5)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 4, 4)",-0.686189403909961,37,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 4, 6)",-0.9980033218889274,25,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 3, 3)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 6, 1)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 0, 6)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 6, 4)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 1, 4)",3.3129692832764484,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 0, 6)",-1.000000000000226,77,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 0, 1)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 5, 3)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 3, 5)",-0.8499053647030131,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 4, 4)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 2, 1)",-0.2710000000000039,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 2, 2)",-0.4095100000000059,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 1, 2)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 6, 4)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 1, 1)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 1, 5)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 2, 3)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 6, 1)",-0.6480700025010648,26,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 6, 0)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 5, 6)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 4, 1)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 5, 4)",-0.6513215599000094,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 5, 3)",1.1276024049637123,11,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 6)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 2, 4)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 5, 1)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 5, 4)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 4, 2)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 3, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 2, 5)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 1, 6)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 1, 5)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 2, 5)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 3, 3)",-0.5172428017847466,31,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 2, 1)",-0.10000000000000142,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 3, 6)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 0, 4)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 6, 4)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 5, 0)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 3, 6)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 2)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 4, 2)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 4)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 2, 0)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 1, 2)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 1, 3)",-0.6861894039100099,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 4, 3)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 5, 0)",-0.9999999999997854,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 1, 3)",-0.6125795110000088,9,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 1)",-0.8499053647030131,18,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 4)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 5, 5)",-0.6513215599000094,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 2, 6)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 3, 4)",-0.8332281830033463,17,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 5, 6)",-1.000000000000226,39,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 6, 1)",-0.7458134171671107,13,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 6, 3)",2.695398819757443,12,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 1, 1)",-0.343900000000005,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 5, 0)",-0.7963515053502997,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 0, 0)",-0.8499053647030131,18,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 2, 0)",0.5075562475541158,21,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 2)",-1.000000000000226,60,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 4, 1)",0.2211205605188311,21,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 2, 6)",-0.9954121253457577,43,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 0, 4)",-1.000000000000226,42,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 6, 3)",-0.41594182137758806,16,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 2, 6)",-0.9948462247926942,50,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 6, 4)",-0.9777169875772244,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 6, 3)",-0.9893421042354954,13,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 6, 5)",-0.8499053647029526,18,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 5, 4)",-0.9975618153058444,39,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 3, 4)",-0.9999450716009903,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 4, 6)",-0.7712320754503462,14,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 0, 1)",-0.8499053647029526,18,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 3, 0)",-0.9202335569230753,24,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 3, 5)",-0.9749684449500122,35,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 0, 5)",-0.686189403909961,11,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 0, 5)",-0.5695327899999676,8,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 4, 1)",-0.8146979811147697,16,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 1, 6)",-0.8905810108684372,21,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 4, 0)",-0.9618479575522508,31,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 3, 1)",-0.8649148282326518,19,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 0, 0)",-0.7941088679053059,15,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 5, 6)",-0.9576088417247295,30,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 3, 2)",-0.833228183003287,17,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 4, 0)",-0.833228183003287,17,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 0, 2)",-0.9618479575522508,31,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 4, 5)",-0.5217030999999703,7,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 4, 0)",0.24608071055121367,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 6, 6)",-0.7941088679053059,15,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 5, 6)",-0.9997302783943527,78,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 5, 0)",-0.9999916647515253,8,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 3, 6)",-0.9999960132764643,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 6, 5)",-0.9999964119488122,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 5, 6)",-0.9999997913557137,22,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 2, 0)",-0.9999999771703164,19,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 4, 4)",-0.9999999999495736,35,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 5, 2)",-0.4095100000000932,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 2)",-1.000000000000226,26,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 2, 3)",-0.9999999999886395,21,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 5, 6)",-1.000000000000184,24,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 6, 5)",-1.000000000000223,18,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 4, 0)",-1.000000000000226,51,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 0, 0)",-1.000000000000226,22,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 3, 3)",-1.000000000000226,17,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 1, 3)",-0.9989388833882309,65,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 1, 4)",-0.6513215599001482,10,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 6, 4)",-0.9113706188036824,23,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 5, 5)",-0.8784233454096306,20,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 1, 1)",-0.27100000000006164,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 1, 6)",-1.000000000000226,6,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 2, 6)",-1.000000000000226,37,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 0, 1)",-1.000000000000226,37,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 2, 1)",-1.000000000000226,13,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 2, 1)",-1.000000000000226,9,"(-5, 2, 1)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 1, 1)",-0.2710000000000039,3,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 6, 6)",0.09900850446694659,13,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 6, 5)",-0.6513215599000094,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 5, 1)",-0.9211024006186618,27,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 0, 0)",-0.9996706374017406,42,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 2, 1)",-0.9998249632113918,4,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 4, 5)",-0.9999808476514791,22,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 0, 5)",-0.7712320754503462,12,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 3, 2)",-0.9998723981810892,3,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 5, 1)",-0.9999162804465932,5,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 5, 5)",-0.9999886907296986,22,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 1, 3)",-0.1899999999999892,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 3, 6)",-0.5695327899999676,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 5, 1)",-0.9999505644408856,7,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 1, 3)",-0.9999708087966752,9,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 4, 1)",-0.9999992692987317,95,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 3, 1)",-1.000000000000226,22,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 5, 3)",1.7002908240260635,26,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 5, 2)",-0.09999999999999432,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-4, 0, 0)",-0.3675697156812526,6,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 0, 6)",-0.9992543530214761,69,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 5, 6)",-1.000000000000226,48,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 3, 6)",-0.09999999999999432,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 5, 1)",-0.6975105555441949,19,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 5, 5)",-0.8146979811147697,16,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 5, 5)",-0.9353891811076802,26,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 5, 5)",-0.833228183003287,17,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 5, 0)",-0.7712320754503462,28,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 0, 5)",-0.8784233454093809,5,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 2, 0)",-0.9202335569230753,9,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 1, 3)",-0.9576088417247295,21,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 0, 6)",-0.9866972053526529,12,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(3, 0, 4)",-0.4095099999999767,5,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 4, 5)",-0.7712320754503462,14,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 2, 6)",-0.651321559899963,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 1, 2)",-0.9774716004550054,12,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 2, 5)",-0.1899999999999892,2,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 2, 3)",-0.9936373145588077,19,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 1, 6)",-0.9997815254994149,18,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 0, 0)",-0.5695327899999676,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-5, 5, 2)",-0.34389999999998044,4,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(1, 4, 3)",-0.9998838936929081,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(4, 3, 5)",-0.9999734386010557,10,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(6, 5, 3)",-0.9999970936785271,23,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-1, 4, 4)",-0.09999999999999432,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(5, 0, 0)",-0.9999960132764643,21,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(0, 1, 4)",-0.5695327899999676,8,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 4, 2)",-0.09999999999999432,1,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-2, 6, 1)",-0.9999964119488122,19,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 2, 5)",-0.9999978812916309,3,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(-3, 3, 3)",-0.6832630022509527,52,"(1, 1, 4)"
"((-1.0, 0.0), (-0.2, 0.2), (0.0, 0.5))","(2, 4, 3)",-0.9999997424144746,5,"(1, 1, 4)"
